videoURL,thumbnailURL,talkTitle,
https://vimeo.com/groups/quantifiedself/videos/96618068,https://i.vimeocdn.com/video/476738917_295x166.jpg,Anne Wright: Data aggregation and Exploration with Fluxtream/BodyTrack,
https://vimeo.com/groups/quantifiedself/videos/96618191,https://i.vimeocdn.com/video/476738650_295x166.jpg,Ellis Bartholomeus: This Is What I Ate,
https://vimeo.com/groups/quantifiedself/videos/96618192,https://i.vimeocdn.com/video/476737365_295x166.jpg,Peter Lewis: Meditation and Brain Function,
https://vimeo.com/groups/quantifiedself/videos/96591406,https://i.vimeocdn.com/video/476709554_295x166.jpg,Dana Greenfield: Leaning into Grief,
https://vimeo.com/groups/quantifiedself/videos/96591409,https://i.vimeocdn.com/video/476708855_295x166.jpg,Mark Drangsholt: Deciphering My Brain Fog,
https://vimeo.com/groups/quantifiedself/videos/96591411,https://i.vimeocdn.com/video/476708459_295x166.jpg,Cathal Gurrin: Me and My Log,
https://vimeo.com/groups/quantifiedself/videos/96591413,https://i.vimeocdn.com/video/476707918_295x166.jpg,Bob Troia: Understanding My Blood Glucose,
https://vimeo.com/groups/quantifiedself/videos/96591408,https://i.vimeocdn.com/video/476709235_295x166.jpg,Kaiton Williams: The Weight of Things Lost,
https://vimeo.com/groups/quantifiedself/videos/96595258,https://i.vimeocdn.com/video/476707561_295x166.jpg,Adrienne Andrew Slaughter: Carbless in Seattle,
https://vimeo.com/groups/quantifiedself/videos/96158932,https://i.vimeocdn.com/video/476325003_295x166.jpg,Dawn Nafus: What I Learned By Building,
https://vimeo.com/groups/quantifiedself/videos/95123494,https://i.vimeocdn.com/video/474991202_295x166.jpg,The Data Visualisation Catalogue,
https://vimeo.com/groups/quantifiedself/videos/92605583,https://i.vimeocdn.com/video/474958089_295x166.jpg,Bob Troia - Tracking (and Hacking) My Glucose,
https://vimeo.com/groups/quantifiedself/videos/92605585,https://i.vimeocdn.com/video/472393582_295x166.jpg,Su Hyun Kim - Quantifying the Emotional Self,
https://vimeo.com/groups/quantifiedself/videos/92678040,https://i.vimeocdn.com/video/474957778_295x166.jpg,Arlene Ducao - This Is Your Brain On Bike,
https://vimeo.com/groups/quantifiedself/videos/94897659,https://i.vimeocdn.com/video/474843197_295x166.jpg,Gameification of QS,
https://vimeo.com/groups/quantifiedself/videos/94897658,https://i.vimeocdn.com/video/474841401_295x166.jpg,Managing Type 1 Diabetes,
https://vimeo.com/groups/quantifiedself/videos/93185464,https://i.vimeocdn.com/video/473170199_295x166.jpg,Seth Roberts,
https://vimeo.com/groups/quantifiedself/videos/91465119,https://i.vimeocdn.com/video/470968773_295x166.jpg,Mathieu Spencer: How I failed as a Digital Doctor!,
https://vimeo.com/groups/quantifiedself/videos/91465118,https://i.vimeocdn.com/video/470969316_295x166.jpg,Jan Szelagiewicz on How to Lose 40 kg With Self-tracking.,
